0.9998	0.0002
0.9992	0.0008
0.9983	0.0017
0.9970	0.0030
0.9954	0.0046
0.9938	0.0062
0.9923	0.0077
0.9911	0.0089
0.9899	0.0101
0.9889	0.0111
0.9881	0.0119
0.9874	0.0126
0.9868	0.0132
0.9863	0.0137
0.9858	0.0142
0.9854	0.0146
0.9849	0.0151
0.9844	0.0156
0.9840	0.0160
0.9837	0.0163
0.9832	0.0168
0.9829	0.0171
0.9827	0.0173
0.9825	0.0175
0.9823	0.0177
0.9822	0.0178
0.9820	0.0180
0.9820	0.0180
0.9819	0.0181
0.9819	0.0181
0.9819	0.0181
0.9819	0.0181
0.9820	0.0180
0.9820	0.0180
0.9820	0.0180
0.9821	0.0179
0.9821	0.0179
0.9822	0.0178
0.9823	0.0177
0.9824	0.0176
0.9825	0.0175
0.9827	0.0173
0.9828	0.0172
0.9829	0.0171
0.9831	0.0169
0.9833	0.0167
0.9834	0.0166
0.9836	0.0164
0.9837	0.0163
0.9840	0.0160
0.9842	0.0158
0.9844	0.0156
0.9846	0.0154
0.9848	0.0152
0.9851	0.0149
0.9853	0.0147
0.9855	0.0145
0.9858	0.0142
0.9860	0.0140
0.9862	0.0138
0.9864	0.0136
0.9867	0.0133
0.9869	0.0131
0.9871	0.0129
0.9873	0.0127
0.9875	0.0125
0.9878	0.0122
0.9880	0.0120
0.9882	0.0118
0.9884	0.0116
0.9887	0.0113
0.9889	0.0111
0.9891	0.0109
0.9893	0.0107
0.9895	0.0105
0.9897	0.0103
0.9899	0.0101
0.9901	0.0099
0.9903	0.0097
0.9905	0.0095
0.9907	0.0093
0.9910	0.0090
0.9912	0.0088
0.9914	0.0086
0.9917	0.0083
0.9919	0.0081
0.9921	0.0079
0.9924	0.0076
0.9926	0.0074
0.9928	0.0072
0.9930	0.0070
0.9932	0.0068
0.9934	0.0066
0.9936	0.0064
0.9938	0.0062
0.9940	0.0060
0.9942	0.0058
0.9944	0.0056
0.9946	0.0054
0.9948	0.0052
0.9950	0.0050
0.9951	0.0049
0.9952	0.0048
0.9954	0.0046
0.9956	0.0044
0.9958	0.0042
0.9959	0.0041
0.9961	0.0039
0.9962	0.0038
0.9964	0.0036
0.9965	0.0035
0.9967	0.0033
0.9968	0.0032
0.9970	0.0030
0.9971	0.0029
0.9972	0.0028
0.9974	0.0026
0.9975	0.0025
0.9976	0.0024
0.9978	0.0022
0.9979	0.0021
0.9980	0.0020
0.9981	0.0019
0.9982	0.0018
0.9984	0.0016
0.9991	0.0009
0.9994	0.0006
0.9998	0.0002
